Sr. no,SKU,B2B Online,Lehenga Title,Category,Size,Choli Fabric,Lehenga Fabric,Dupatta Fabric,Inner Fabric,Color,Lehenga Length,Lehenga Flair,Lehenga Closer,Lehenga Stitching,Blouse Length,Blouse in Mtr,Dupatta Width,Dupatta Length,Sleeve,Sleeve Length,Neck Type,Work/Pattern,Work Type,Waist,Bust,Stitching,Content,Description,HSN,Img 1,Img 2,Img 3,Img 4,Img 5,Img 6,Img 7,Img 8,Img 9,Img 8,Img 9,Img 10,Img 11,Img 12,Img 13,,,,,
190,1348_Brown,1795,Wine Maroon Embroidered Butti Work Semi-Stitched Taffeta Silk Lehenga Choli with Dupatta for Wedding & Festive Occasion,Lehenga Choli,Free Size up to 42Inch,Taffeta Silk,Taffeta Silk,Net,Crepe,Brown,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',3/4 Sleeve,Elbow length,V-neck,Butti Pattern with Heavy Embroidered Border,Embroidery Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Taffeta Silk, Lehenga Work ::Butti Pattern with Heavy Embroidered Border, Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Net, Duptta Work :: Embroidered Border, Duptta Size :: 2.2 Mtr, Choli Fabric : Taffeta Silk, Choli Work :: Embroidery Work ,Choli Size:: 1 Mtr.",62114290,https://drive.google.com/open?id=1ghInMGu8vaW8eDSmylV7LsYS3jR8W3XC&usp=drive_copy,https://drive.google.com/open?id=17qzPgOWTkvG1QpqeSmilSiQC0zBx7XPh&usp=drive_copy,https://drive.google.com/open?id=11SAogByH7X7jfEwfRjhPNgpJX7Xu5byC&usp=drive_copy,https://drive.google.com/open?id=1FnwtaORENox2Sx5yYDJfPmU_ZWrHVYrp&usp=drive_copy,,,,,,,,,,,,,,,,
191,1347_Peach,2195,Dusty Pink Heavy Embroidered Work Semi-Stitched Net Lehenga Choli with Dupatta for Wedding & Festive Occasion,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,Peach,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Full Sleeve,Full Sleeve,Round Neck,Heavy Thread Embroidery with Geometric & Floral Pattern,Thread Embroidery Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Net, Lehenga Work :: Heavy Thread Embroidery , Lehenga Inner :: Ultra Satin, Lehenga Flair :: 3 Mtr , Duptta Fabric :: Net, Duptta Work :: Thread Embroidery, Duptta Size :: 2.2 Mtr, Choli Fabric : Net, Choli Work :: Heavy Thread Embroidery ,Choli Size:: 1 Mtr.",62114290,https://drive.google.com/open?id=1nfsdYzcJcexVdVCduvN-Es-o2rdGifAI&usp=drive_copy,https://drive.google.com/open?id=11lVvxa1kN7Wb9YDgCCc4ozmgUDFOZI8h&usp=drive_copy,https://drive.google.com/open?id=1qJrCd9M70aaLP8pb5RY_PkLVyZ0Atsbr&usp=drive_copy,https://drive.google.com/open?id=1Tjszeyq0nSONzlTgNFK4zrzOLbyCbrkP&usp=drive_copy,https://drive.google.com/open?id=1GOhn0_4npSoRWdQ3vEjGDwQBPvZmM39V&usp=drive_copy,https://drive.google.com/open?id=1NvSExPmIKKYf33KVgSJfuwdc2tD8Brst&usp=drive_copy,,,,,,,,,,,,,,
192,1344_GreenPrint,1795,Bottle Green Floral Printed Semi-Stitched Mono Silk Lehenga Choli with Dupatta for Festive & Wedding Occasion,Lehenga Choli,Free Size up to 42Inch,Mono Silk,Mono Silk,Chanderi Cotton,Crepe,Green,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Short sleeves,V-neck,Floral Print Work,Floral Print Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1",Lehenga Fabric: Banglory Silk || Inner Fabric: Crepe || Choli Fabric: Banglory Silk || Dupatta Fabric: Chanderi silk ||Lehenga Inner Fabric: Santoon|| Lehenga Length:42 Inch || Choli Size: 0.80 Mtr || Dupatta Length: 2.4 mtr || Lehenga Work: Floral print Work|| Choli Work: Floral print Work || Dupatta Work: plain,62114290,https://drive.google.com/open?id=1BVb4RE1Znggwp6wX8wL-9kJu9YyKOFaO&usp=drive_copy,https://drive.google.com/open?id=1LKNj_EY8j6i-XL7QtIBqNkVkQsE2nYOS&usp=drive_copy,https://drive.google.com/open?id=1kpWGscDiRyDKc7be3G82Vyrb61Hx5QOx&usp=drive_copy,,,,,,,,,,,,,,,,,
193,1317_Green,2295,Green Net Fabric Lehenga Choli with Sequin & Thread Embroidery Work and A-Line Style Semi-Stitched For Wedding & Festive Wear,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,Green,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Full Sleeve,Round Neck,Embroidery Thread Work,Embroidery Thread Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1",Lehenga Fabric: Heavy Net || Inner Fabric: Crepe || Choli Fabric: Heavy Net || Dupatta Fabric: Net ||Lehenga Inner Fabric: Santoon|| Lehenga Length: 46 Inch || Choli Size: 1 Mtr || Dupatta Length: 2.4 mtr || Lehenga Work: Embroidery And Stone Work|| Choli Work: Embroidery And Stone Work || Dupatta Work: Embroidery And Stone Work,62114290,https://drive.google.com/open?id=1S-MFL2vVIYUQI0axvQjE4aJPVJ9J8Fbs&usp=drive_copy,https://drive.google.com/open?id=1fo2_dYozrH857F1GVDbYvRzlztg4cERt&usp=drive_copy,https://drive.google.com/open?id=1c-IuxgKSR9y6wjX18eQmUwtxtfJnnlq7&usp=drive_copy,https://drive.google.com/open?id=1iVw2bQPEsgX_PfCWoXzFrG6O8vu8TjxQ&usp=drive_copy,https://drive.google.com/open?id=1NB1NGYo9ys-FZyYHiX5VgyETxe-5iOx3&usp=drive_copy,https://drive.google.com/open?id=1nhCeBjAjd4-7sEfwNLfMLVmX8uir2yQL&usp=drive_copy,https://drive.google.com/open?id=1e-mSYOWAxRQL79MabHHpK7GZggQDBi69&usp=drive_copy,https://drive.google.com/open?id=1J78xO4LnCK_U9RsK-3qJfkixAlKrwCjs&usp=drive_copy,https://drive.google.com/open?id=1qj3mgLH8Duh6DiB9SKQaqTRbj-29zYYC&usp=drive_copy,,,,,,,,,,,
194,1316_Pastel Green,1995,Pastel Green Net Embroidered Lehenga Choli Set Semi-Stitched Heavy Zari & Thread Work For A-Line Wedding & Festive Wear,Lehenga Choli,Free Size up to 42Inch,Taffeta Silk,Taffeta Silk,Net,Crepe,Light Green,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Sleeveless,No Sleeves,V-neck,Embroidery Thread Work,Embroidery Thread Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1",Lehenga Fabric: Taffeta Silk || Inner Fabric: Crepe || Choli Fabric: Taffeta Silk || Dupatta Fabric: Net ||Lehenga Inner Fabric: Santoon|| Lehenga Length: 42 Inch || Choli Size: 0.80 Mtr || Dupatta Length: 2.20 mtr || Lehenga Work: Embroidery And Stone Work|| Choli Work: Embroidery And Stone Work || Dupatta Work: Embroidery And Stone Work,62114290,https://drive.google.com/open?id=1UIjVM3LuywytnrDE5Hwwn3_UHdIuYsIJ&usp=drive_copy,https://drive.google.com/open?id=1adjNkV-B_RZPQJsBhV2ksjhGWF9841Gy&usp=drive_copy,https://drive.google.com/open?id=1b-dXrbFs4J_Qz4zOPq5zCqTQ3acWqu5c&usp=drive_copy,https://drive.google.com/open?id=15tFVOp3rNqT0fpE716H84qprSKiHB1Rw&usp=drive_copy,https://drive.google.com/open?id=1A9z2Vc_QxIisTqPZsGuWNztttdhB0sOr&usp=drive_copy,https://drive.google.com/open?id=1ci1rYvw8huYkvNjEka4T6g4ex3SPJlJQ&usp=drive_copy,https://drive.google.com/open?id=1wq7tFXSWhzYv3RnqqXm38BBHCS8QJuGT&usp=drive_copy,https://drive.google.com/open?id=1kObyRUL1W02GIMNTceWBVlO-sgDHtdBy&usp=drive_copy,,,,,,,,,,,,
195,1308_Dusty,1995,Dusty Net Embroidered Lehenga Choli set Semi-Stitched Heavy Zari & Thread Work For A-Line Festive & Wedding Wear,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,Dusty,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Full Sleeve,Round Neck,Embroidery Thread Work,Embroidery Thread Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1",Lehenga Fabric: Heavy Net || Inner Fabric: Crepe || Choli Fabric: Heavy Net || Dupatta Fabric: Net ||Lehenga Inner Fabric: Santoon|| Lehenga Length: 42 Inch || Choli Size: 0.80 Mtr || Dupatta Length: 2.2 mtr || Lehenga Work: Embroidery and embellished pearl work|| Choli Work: Embroidery and embellished pearl work || Dupatta Work: Embroidery and embellished pearl work.,62114290,https://drive.google.com/open?id=16Qqc6j6AAmzieWujCMfl_Qc-nB3cBvCe&usp=drive_copy,https://drive.google.com/open?id=1Dr6Z8s59cJCATrZ9vDiqcyxgNtCU4qEq&usp=drive_copy,https://drive.google.com/open?id=1R9nVAt3I2x5S22NhOq6NJmMi665X2Se7&usp=drive_copy,https://drive.google.com/open?id=1fWOuJD87fdWvobSq5N57of0QJG3OIdLK&usp=drive_copy,https://drive.google.com/open?id=1s3a3CBW5y1WdQ0wp91jLrvgvQNSjWQNj&usp=drive_copy,,,,,,,,,,,,,,,
196,1307_Light Pink,1995,Pink Net Embroidered Lehenga Choli Set Heavy Zari & Thread Work For Festive & Wedding Wear Semi-Stitched,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Crepe,Light Pink,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Elbow length,Round Neck,Embroidery Thread Work,Embroidery Thread Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1",Lehenga Fabric: Heavy Net || Inner Fabric: Crepe || Choli Fabric: Heavy Net || Dupatta Fabric: Net ||Lehenga Inner Fabric: Santoon|| Lehenga Length: 42 Inch || Choli Size: 0.80 Mtr || Dupatta Length: 2.2 mtr || Lehenga Work: Embroidery and embellished pearl work|| Choli Work: Embroidery and embellished pearl work || Dupatta Work: Embroidery and embellished pearl work.,62114290,https://drive.google.com/open?id=1OFH_8_pHuSlyt3JBc9-9WeprCFQMifTm&usp=drive_copy,https://drive.google.com/open?id=1kk-3-SZMqB3CJ64DI-chx7cpmd-lVswi&usp=drive_copy,https://drive.google.com/open?id=1XLIHaGzz6WhPsJOnLP6uSZyuHq3_QPtp&usp=drive_copy,https://drive.google.com/open?id=1yDdc41aHV9RmcqJVX_cJGGM8VDRz60aS&usp=drive_copy,https://drive.google.com/open?id=1WH8IHlUUVdTO1vVUMoUmqR6bhipu0Jzf&usp=drive_copy,https://drive.google.com/open?id=1OlXlY2qwSDZPC8ghBW0y9ugccl-M822Q&usp=drive_copy,https://drive.google.com/open?id=1BwpvvFR_GV_-axEzQpki2CQHA9Y0kvKW&usp=drive_copy,https://drive.google.com/open?id=1CxzOwHpZmg2XBPOueMv0BHt7HZBO3z-r&usp=drive_copy,https://drive.google.com/open?id=1q2oZBmwqd7W9N15zUyEJAL5mEcUEl_fX&usp=drive_copy,https://drive.google.com/open?id=11KeLg_WTQime4t-yHR53gzAZgjfUYGoO&usp=drive_copy,https://drive.google.com/open?id=11d-j88BHHwuwDl3EX3BKGzmUXN4BdUuh&usp=drive_copy,https://drive.google.com/open?id=15fFh3vOfXUkaQCjqfZ8e5ptt7CiVZSy5&usp=drive_copy,,,,,,,,
197,1305_Red,2095,Red Net Embroidered Lehenga Choli Set Heavy Zari & Thread Work For Bridal & Festive Wear Semi-Stitched,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,Red,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Short sleeves,Round Neck,Embroidery Thread Work,Embroidery Thread Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1",Lehenga Fabric: Heavy Net || Inner Fabric: Crepe || Choli Fabric: Heavy Net || Dupatta Fabric: Net ||Lehenga Inner Fabric: Santoon|| Lehenga Length: 42 Inch || Choli Size: 0.80 Mtr || Dupatta Length: 2.2 mtr || Lehenga Work: Embroidery and embellished pearl work|| Choli Work: Embroidery and embellished pearl work || Dupatta Work: Embroidery and embellished pearl work.,62114290,https://drive.google.com/open?id=1bIRx2aJxajJJ3MGrSnKi4WdIMB0ZpoA4&usp=drive_copy,https://drive.google.com/open?id=16Ji-Tf7jCO1L5Weib1_SMlygRpK-wKU5&usp=drive_copy,https://drive.google.com/open?id=1Vkmpv2dQ3XUaV9LKRIoYuuGzND1BCxb0&usp=drive_copy,https://drive.google.com/open?id=1f0ZQOS4Mh6rf8mZ29snssZZAO24JqQLU&usp=drive_copy,https://drive.google.com/open?id=11Yly0UfDlqGfsQYnf0QdlHcRv24iKkwr&usp=drive_copy,,,,,,,,,,,,,,,
198,1304_Light Green,2195,Mint Green Net Floral Embroidered Lehenga Choli with Dupatta Set Zari & Thread Work For Festive & Wedding Wear,Lehenga Choli,Free Size up to 42Inch,Taffeta Silk,Taffeta Silk,Net,Crepe,Light Green,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Three-Quarter Length,Round Neck,Embroidery Thread Work,Embroidery Thread Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1",Lehenga Fabric: Heavy Net || Inner Fabric: Crepe || Choli Fabric: Heavy Net || Dupatta Fabric: Net ||Lehenga Inner Fabric: Santoon|| Lehenga Length: 42 Inch || Choli Size: 0.80 Mtr || Dupatta Length: 2.2 mtr || Lehenga Work: Embroidery and embellished pearl work|| Choli Work: Embroidery and embellished pearl work || Dupatta Work: Embroidery and embellished pearl work.,62114290,https://drive.google.com/open?id=1H4ZgvzjbaliVoJm_HgU7TDrq5BZC4ABT&usp=drive_copy,https://drive.google.com/open?id=1BjYPRQTCbtwVOzOfPtSFlWJxyjy08qhj&usp=drive_copy,https://drive.google.com/open?id=1Wn_5VGs_wvO9H4w6P5i5ubZB0Ec3MVLj&usp=drive_copy,https://drive.google.com/open?id=1hGCuZA3Myw_LiB4VTAUkAt4CPl9wq-XH&usp=drive_copy,https://drive.google.com/open?id=1EW_oVQLfWN0AaRBC54FKGFQud7mnMYOx&usp=drive_copy,https://drive.google.com/open?id=1pMkTxJ-vOyfyZ5XTN5e6bAHs6b_WLsmr&usp=drive_copy,,,,,,,,,,,,,,
199,1300_Green,2195,Green Net Embroidered Lehenga Choli with Dupatta Set Heavy Zari & Sequin Work for Bridal & Festive Wear,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,Green,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Three-Quarter Length,V-neck,Embroidery Thread Work,Embroidery Thread Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1",Lehenga Fabric: Heavy Net || Inner Fabric: Crepe || Choli Fabric: Heavy Net || Dupatta Fabric: Net ||Lehenga Inner Fabric: Santoon|| Lehenga Length: 42 Inch || Choli Size: 0.80 Mtr || Dupatta Length: 2.2 mtr || Lehenga Work: Embroidery and embellished pearl work|| Choli Work: Embroidery and embellished pearl work || Dupatta Work: Embroidery and embellished pearl work.,62114290,https://drive.google.com/open?id=1SKyUMD4oDqwRv0CC2JDojTp7BPw9yNNb&usp=drive_copy,https://drive.google.com/open?id=1X4k__ZezSVeZ5cuwO2jVOJYK_SW-O1GY&usp=drive_copy,https://drive.google.com/open?id=1EmWSCm5afpf7YYzg57C2nMBi-saxz0jE&usp=drive_copy,https://drive.google.com/open?id=1NltLFbf81EnrdXcXj8tmBeN7GEfGfGqd&usp=drive_copy,https://drive.google.com/open?id=1CLOnG-LB0Sj4jupzQBU1niqcJV7YOuyO&usp=drive_copy,https://drive.google.com/open?id=1-en8-zWtyspSKgprH_cLGm5biNZJT1Ap&usp=drive_copy,https://drive.google.com/open?id=1_froeREUQyc7q9sqH7GwFEVrbzX4HU8z&usp=drive_copy,https://drive.google.com/open?id=1dGThL-ckkUf_dUoCyCzzk7Zi9PccQkMO&usp=drive_copy,https://drive.google.com/open?id=1QWtnortTLXbZPtPnptgyaHV3ETx8zNaS&usp=drive_copy,https://drive.google.com/open?id=138yAN452dOxS9Hfkd8mtBO0skiOAk7tZ&usp=drive_copy,https://drive.google.com/open?id=10bOqVPovqMwHVSlvwNV6qwwIeYZHsU96&usp=drive_copy,,,,,,,,,
200,1299_Purple,2195,Purple Net Embroidered Lehenga Choli with Dupatta set Heavy Zari & Thread Work for Festive & Wedding Wear,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,Purple,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Full Sleeve,Round Neck,Embroidery Thread Work,Embroidery Thread Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1",Lehenga Fabric: Heavy Net || Inner Fabric: Crepe || Choli Fabric: Heavy Net || Dupatta Fabric: Net ||Lehenga Inner Fabric: Santoon|| Lehenga Length: 42 Inch || Choli Size: 0.80 Mtr || Dupatta Length: 2.2 mtr || Lehenga Work: Embroidery and embellished pearl work|| Choli Work: Embroidery and embellished pearl work || Dupatta Work: Embroidery and embellished pearl work.,62114290,https://drive.google.com/open?id=1FpzWRij-Wy-Bg3eLm4Fz2kBxFDNoYrZx&usp=drive_copy,https://drive.google.com/open?id=1vhhcJ5WbgKO_PIX6Q_FPdOvfI09wcz6N&usp=drive_copy,https://drive.google.com/open?id=1nW37c5vIXZo2m8Rjxql40jvn_3btK3Op&usp=drive_copy,https://drive.google.com/open?id=1IOqZxJOrtSzCjaLVfZLI5Dii3t3kWdDH&usp=drive_copy,https://drive.google.com/open?id=19BBZIZGzxAT-8_j-ZeiekMJzJYOVTBaM&usp=drive_copy,https://drive.google.com/open?id=1993uX9l16kkcRdFWZfqTMQP-j4Q2h4Pe&usp=drive_copy,https://drive.google.com/open?id=1f7YiTS1jVr3-qTq05fKu0RSfbLGQYOwy&usp=drive_copy,https://drive.google.com/open?id=1Nppgrqy6Cndw2gBhIhLrF2MMduqnxWGQ&usp=drive_copy,https://drive.google.com/open?id=17QMY8gokHJ75-EL0x75HBMRSlqIWxIS2&usp=drive_copy,https://drive.google.com/open?id=1dEUfi_7jKQVv-8DLJ1o1mbflGYsi0B1R&usp=drive_copy,https://drive.google.com/open?id=1hno3Bm-kuHYyoCYqzIPfv8IOmFloAN7g&usp=drive_copy,https://drive.google.com/open?id=1BPhBm6uDSR7mzSsDdQDzwzKVSgc8OiZV&usp=drive_copy,https://drive.google.com/open?id=1JOxywWtwCsrtBFlp4Ky_fsRyHJao0HvG&usp=drive_copy,,,,,,,
201,1289_Red,2195,"Red Net Lehenga with Zari & Thread Embroidery Work, Traditional style Semi-Stitched lehenga set for Festive & Wedding Wear",Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,Red,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Elbow length,Boat,Embroidery Thread Work,Embroidery Thread Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1",Lehenga Fabric: Heavy Net || Inner Fabric: Crepe || Choli Fabric: Heavy Net || Dupatta Fabric: Net ||Lehenga Inner Fabric: Santoon|| Lehenga Length: 42 Inch || Choli Size: 0.80 Mtr || Dupatta Length: 2.2 mtr || Lehenga Work: Embroidery and embellished pearl work|| Choli Work: Embroidery and embellished pearl work || Dupatta Work: Embroidery and embellished pearl work.,62114290,https://drive.google.com/open?id=1jfwg-lWIkEstfq6KVyPMb1qtPGzCMbmy&usp=drive_copy,https://drive.google.com/open?id=1W_O51G9WzIAOZzK6QF0XluE7LbDCncG_&usp=drive_copy,https://drive.google.com/open?id=1oH4VkV4IoM7pjRDR3o-kcIspY0a_xtmS&usp=drive_copy,https://drive.google.com/open?id=1_jegJbzVCutNSPnHkV281m6aHjZNizAU&usp=drive_copy,https://drive.google.com/open?id=1-itGPvy3n5e5cZCn-MOfJm6OG4PQUvp8&usp=drive_copy,,,,,,,,,,,,,,,
202,1288_Maroon,2195,"Maroon Net Lehenga Choli with Zari & Thread Embroidery Work, Stitched Lehanga set for Bridal & Wedding Occasion Wear",Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Crepe,Maroon,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Elbow length,Round Neck,Embroidery Thread Work,Embroidery Thread Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1",Lehenga Fabric: Heavy Net || Inner Fabric: Crepe || Choli Fabric: Heavy Net || Dupatta Fabric: Net ||Lehenga Inner Fabric: Santoon|| Lehenga Length: 42 Inch || Choli Size: 0.80 Mtr || Dupatta Length: 2.2 mtr || Lehenga Work: Embroidery and embellished pearl work|| Choli Work: Embroidery and embellished pearl work || Dupatta Work: Embroidery and embellished pearl work.,62114290,https://drive.google.com/open?id=1jwS0evPaP58Q80k9ash31kKsJH_3hXpQ&usp=drive_copy,https://drive.google.com/open?id=12tTwvGQBvyrRVLb5sDw4L65C-4dNccCy&usp=drive_copy,https://drive.google.com/open?id=1gSC0C09kedhO0vIZj9X7xLeZ2K_swh9i&usp=drive_copy,https://drive.google.com/open?id=1taYYPJmnY3vblp4v142HK2AdBqbsFjRa&usp=drive_copy,https://drive.google.com/open?id=1oRd2HRC3q51cs01lg6Mnwul7DQXMgqpc&usp=drive_copy,https://drive.google.com/open?id=1eP_e3Iv3v-o5HZd0LOfOrGd0mmcUgldm&usp=drive_copy,https://drive.google.com/open?id=1fE_0xa3OzetJ3FPW6ICoeF2PB8jAanbA&usp=drive_copy,https://drive.google.com/open?id=1dD-8t9wWS_2Yhm4koz6fqc67lvOOk1hw&usp=drive_copy,https://drive.google.com/open?id=1KtdZnM7w8K_RgSY4T8VM1dcYSshmX_BL&usp=drive_copy,https://drive.google.com/open?id=1Bv-xoIVeFi6A8vkra16BhjgIgiQIQmry&usp=drive_copy,https://drive.google.com/open?id=17uqcZHyA0QjwhAbKibrRjTujOLveGMRH&usp=drive_copy,https://drive.google.com/open?id=17ZvRAukgXXDiUXgpXMdsaoiBVelJOTUG&usp=drive_copy,https://drive.google.com/open?id=1MgLxl9ZQ-_7NWdv_3sqetELqdXLSFQtK&usp=drive_copy,https://drive.google.com/open?id=1IBRGirohdRyb25Fmliq9tpguN8ucf7Ry&usp=drive_copy,,,,,,
203,1287_Green,2195,Green Silk Lehenga with Zari & Thread Embroidery work for Bridal & Festive Occasion Stitched lehenga Set,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,Green,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Elbow length,Round Neck,Embroidery and embellished pearl work,Embroidery Thread Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1",Lehenga Fabric: Heavy Net || Inner Fabric: Crepe || Choli Fabric: Heavy Net || Dupatta Fabric: Net ||Lehenga Inner Fabric: Santoon|| Lehenga Length: 42 Inch || Choli Size: 0.80 Mtr || Dupatta Length: 2.2 mtr || Lehenga Work: Embroidery and embellished pearl work|| Choli Work: Embroidery and embellished pearl work || Dupatta Work: Embroidery and embellished pearl work.,62114290,https://drive.google.com/open?id=1PV4eJASdYjYFtgGREttY2ty0s2mB_-q9&usp=drive_copy,https://drive.google.com/open?id=1KsUAElcPzlstPKhIhGWHdDN3odb1VrBn&usp=drive_copy,https://drive.google.com/open?id=1mE10dnpQ71AqsqEm2fcpwT3edL5bX8Ds&usp=drive_copy,https://drive.google.com/open?id=1lKWTgsqq3xActAhKLe8KBTPHRdUNjNWd&usp=drive_copy,https://drive.google.com/open?id=1sTnsV2jazZR3pVu247W6T-myqoJ1ng-X&usp=drive_copy,https://drive.google.com/open?id=1boQLw9Ij7OC9Pv6LbGtwHILmnucHUxPB&usp=drive_copy,https://drive.google.com/open?id=1aNFBEKkzP3M2eEz6SkAcY0pYbwRqMjRG&usp=drive_copy,https://drive.google.com/open?id=119f_phFVd678M7Z43cMCZwYOuuXps7zE&usp=drive_copy,https://drive.google.com/open?id=1egcJMDVOHNNBH27rKswF1uytGclEFl0D&usp=drive_copy,https://drive.google.com/open?id=1gPaUncY65fL_0V1F_zSAdcPBtzRtSAPj&usp=drive_copy,https://drive.google.com/open?id=12rVIJXD2VGKX8Ikc2vHHoowGRqiF4eLP&usp=drive_copy,https://drive.google.com/open?id=1G8qM59EE7m0aTZpK0ZY67lhO6xAFMC2L&usp=drive_copy,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
